,,,,,,,,,,,,,,,,,,,
,"發表時間
Time","發表者
Presenter","提案形式
Form",錄影以 CC-BY 釋出？,"專案名稱
Project Name","主題
Topic","專案授權
Project License ","是否申請資金池？💰（Y/N）
點我看資金池計畫說明文件","資金池輔佐證明文件連結
（核心成員、明確活動、聯絡方式）","g0v Podcast
松後推坑電台
受訪意願? (Y/?)","共筆／討論連結
HackMD link","目前成果／投影片連結
Slide link","新參者友善（Y/?）
Newcomer-friendly?","專案三個關鍵字
3 Keywords of Project","專案徵人（專長）
Recruitment (talents?)",坑主聯絡方式,youtube url: 專案報告 或是 預錄影片,youtube url: 成果報告,youtube title
13,10:16,Luphia,實體,Y,Top-Ten-LiFaYuan,立法院十大好球－讓 AI 用三分鐘*告訴你立法院最近在玩什麼,cc0,N,,Y,https://drive.google.com/drive/folders/10YRWxusb6kNZS4fLr1EWyrk-z0ce1sda,https://docs.google.com/presentation/d/111FEJie3-awSa_NX01fF0p_1IDUycxnHqLn2M2iF7D8/,Y,AI、炸裂、立法院,媒體人、設計人、詠唱師、剪輯師、H100,g0v slack @Luphia,,https://www.youtube.com/@%E7%AB%8B%E6%B3%95%E9%99%A2%E5%8D%81%E5%A4%A7%E5%A5%BD%E7%90%83,g0v tw hackath64n — 提案 — Top-Ten-LiFaYuan ／ Luphia — 黃金比例黑客松
14,10:19,slc,實體,,HRJust,數位防疫怎麼hack？公民科技社群的回顧,cc-by / cc0,n,,y,,https://docs.google.com/presentation/d/1_VaCZYEila6iEkjbauET3xJ3BJ2WLlZCNbym82wZnf4/edit#slide=id.g3171f6dd034_0_577,Y,數位防疫、問卷、成效評估,所有對數位防疫有經驗、意見、想法的人,g0v slack @SLC,,,g0v tw hackath64n — 提案 — HRJust ／ slc — 黃金比例黑客松
15,10:22,Kapibara,實體,,OpenDiplomacy,外交可以開源嗎？用公民科技讓外交變得更開放、更民主,CC-BY,N,,Y ,外交可以開源嗎? - HackMD,https://docs.google.com/presentation/d/1hRDkrRWtU5XILRkbrBU4o4_UqR9XwHnw/edit?usp=drivesdk&ouid=107338149296176988472&rtpof=true&sd=true,Y,國際友誼、人權、開放資料,感興趣的人、前後端開發人員,g0v @Kapibara,,,g0v tw hackath64n — 提案 — OpenDiplomacy ／ Kapibara — 黃金比例黑客松
,,== 截止 ==,,,,,,,,,,,,,,,,,g0v tw hackath64n — 提案 —  ／ == 截止 == — 黃金比例黑客松
,,,,,,,,,,,,,,,,,,,g0v tw hackath64n — 提案 —  ／  — 黃金比例黑客松
"13:10-13:40【新手導覽團 Newcomer Tour Group】
帶領大家遊逛當天的各桌專案 ~  Guiding everyone to explore the various project  ~",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"14:30【短講 Talk】
每個 present 8mins，分享議題、專案、研究、技術皆可。",,,,,,,,,,,,,,,,,,,
順序,發表時間（自填）,"發表者
Presenter","提案形式
Form",錄影以 CC-BY 釋出?,"專案名稱
Project Name","主題
Topic","專案授權
Project License ",,,是否授權上架 大松實況電台?(Y/?),"共筆／討論連結
HackMD link",相關連結,"新參者友善（Y/?）
Newcomer-friendly?",三個關鍵字,專案徵人,坑主聯絡方式,,,"g0v tw hackath64n — 中場短講 — 專案名稱
Project Name ／ 發表者
Presenter — 黃金比例黑客松"
1,14:30,Peter ,實體,,Code for Japan Summit 2024 參觀小心得,Code for Japan Summit 2024 參觀小心得,cc:by,N ,,Y,https://app.heptabase.com/w/1a89674ae446f265a7fe3fc08852951c34770b50fdd22505b6ff3d3e785e9e2d,https://docs.google.com/presentation/d/1tZPwaWJhtop5CPJOhulOT-ZC0qI-QR3kD97QM38Tm3w/edit?usp=sharing,,,,,,,g0v tw hackath64n — 中場短講 — Code for Japan Summit 2024 參觀小心得 ／ Peter  — 黃金比例黑客松
2,14:40,Jas,實體,,拉人更輕鬆,資金池平方投票,cc:by,,,,,,,,,,,,g0v tw hackath64n — 中場短講 — 拉人更輕鬆 ／ Jas — 黃金比例黑客松
3,14:50,irvin,實體,,open講！,open講！,cc:by,,,y,https://g0v.hackmd.io/@irvin/open-talk,,y,"open,source",,,,,g0v tw hackath64n — 中場短講 — open講！ ／ irvin — 黃金比例黑客松
4,15:00,Paul,實體,,digiresithon,could meshtastic adpot more reliable data transmission mechanisms to fight against packet loss and protect data's integrity,cc-by-sa 4.0,,,Y,,"https://gamma.app/docs/nov-23-Security-and-privacy-concerns-with-the-widespread-implemen-ynm2biiyx28upup
https://hackmd.io/@wkaJLVJTTwCbncUM7qZK_A/SJCRJx_MA",,,,,,,g0v tw hackath64n — 中場短講 — digiresithon ／ Paul — 黃金比例黑客松
,本期開放4位8分鐘,== 截止 ==,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"16:00【成果發表 Present Project】 
每個 present 5mins，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,,,,,,,
1,16:00,揪松團,實體,,,未來活動宣傳「g0v國會松、2025二月大松」& 歡迎大家填寫影響力問卷,,,,,,https://docs.google.com/presentation/d/1dfBB8RXHBfA52Y_QYMcoRu2HpHEEzLoEVcPnLkzFZMg/edit#slide=id.g3167d3219d9_0_0,,,,,,,g0v tw hackath64n — 成果報告 —  ／ 揪松團 — 黃金比例黑客松
2,16:05,Ronny,實體,,國會松 & 國會相關的 …,國會松 & 國會相關的 …,CC-by,,,y,國會松 & 國會相關的 … @ ,,,,,,,,g0v tw hackath64n — 成果報告 — 國會松 & 國會相關的 … ／ Ronny — 黃金比例黑客松
3,16:10,,,,,,,,,,,,,,,,,,g0v tw hackath64n — 成果報告 —  ／  — 黃金比例黑客松
4,16:15,jas/yvonne,實體,,拉人更輕鬆,資金池投票頒獎,cc-by,,,,,https://www.canva.com/design/DAGXQalo7zI/xGw_-NYp45s_qdFS4ltZMg/edit?utm_content=DAGXQalo7zI&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,,,,,,g0v tw hackath64n — 成果報告 — 拉人更輕鬆 ／ jas/yvonne — 黃金比例黑客松
5,16:20,chewei,實體,Y,碳匯城鄉,臺北市文山區碳收支地圖工作方法 / 淨零議題資料蒐集,cc-by,n,,y,https://g0v.hackmd.io/@chewei/carbon-uptake/https%3A%2F%2Fg0v.hackmd.io%2FM369znrhQHWqONzLjOCj8g%3Fview,,Y,"淨零自治條例,GIS,政策形成","GIS,","g0v slack @chewei
g0v slack #poponfire",,,g0v tw hackath64n — 成果報告 — 碳匯城鄉 ／ chewei — 黃金比例黑客松
6,16:25,Stanley ,實體,Y,FAB DAO 綠沙發小組,公益專案到區塊鏈世界拉贊助,cc-by,n,,Y,https://hackmd.io/@greensofa?utm_source=preview-mode&utm_medium=rec,https://docs.google.com/presentation/d/10lTA97UvXMgZ2Oil2G5gfzifnpmYTdAWI1gUq3eEOHk/edit#slide=id.g318fd22434b_0_40,Y,在地公益，鏈上募款，國際聯結,對鏈上國際公益募款有興趣的朋友,https://discord.com/invite/U6S3CQwX2z?fbclid=IwZXh0bgNhZW0CMTEAAR064ZfisBCKmqe8sXiHnGDjsQj6ALlYcsS8hqessAOAecjni_r6Q5hnci0_aem_rcWKpymrrhUozNMsqJRq-A,,,g0v tw hackath64n — 成果報告 — FAB DAO 綠沙發小組 ／ Stanley  — 黃金比例黑客松
7,16:30,Luphia,實體,Y,Top-Ten-LiFaYuan,立法院十大好球－讓 AI 用三分鐘告訴你立法院最近在玩什麼,cc0,N,,Y,https://drive.google.com/drive/folders/10YRWxusb6kNZS4fLr1EWyrk-z0ce1sda,https://www.youtube.com/shorts/DPAWlM8NcxE,Y,AI、炸裂、立法院,媒體人、設計人、詠唱師、剪輯師、H100,g0v slack @Luphia,,https://www.youtube.com/@%E7%AB%8B%E6%B3%95%E9%99%A2%E5%8D%81%E5%A4%A7%E5%A5%BD%E7%90%83,g0v tw hackath64n — 成果報告 — Top-Ten-LiFaYuan ／ Luphia — 黃金比例黑客松
8,16:35,MrOrz & Billion,實體,Y,Cofacts,Cofacts & DWeb,cc0,,,Y,https://cofacts.tw/hack,,Y,,,,,,g0v tw hackath64n — 成果報告 — Cofacts ／ MrOrz & Billion — 黃金比例黑客松
9,16:40,RSChiang,實體,,D2WG,g0v 數位民主研究案,CC BY,N,,Y,https://g0v.hackmd.io/@d2wg/book/,2024-11-23 g0v hackath64n D2WG.pdf,Y,數位民主、公私協力、面海松,,g0v slack @rschiang,,,g0v tw hackath64n — 成果報告 — D2WG ／ RSChiang — 黃金比例黑客松
10,16:45,irvin,實體,Y,Common Voice,族語錄音專案,CC0,N,,Y,https://hackmd.io/@moztw/cv-g0v-64,,Y,國台語族語、語料、錄音,會說寫國 / 台語 / 族語,"g0v slack @irvin
line group - cvline.moztw.space
telegram - t.me/moztwCV",,,g0v tw hackath64n — 成果報告 — Common Voice ／ irvin — 黃金比例黑客松
11,16:50,Ronny,實體,Y,放輕松,放輕松 & g0v 行事曆,,,,,https://g0v.tw/event/,,,,,,,,g0v tw hackath64n — 成果報告 — 放輕松 ／ Ronny — 黃金比例黑客松
12,16:55,Joanne,實體,,Groundi 熱情專案,媒合社區任務，陪伴高中生從零到一開啟熱情專案,,,,Y,,,Y,教育、社會設計、平台開發,前端工程 / UI 設計 / 行銷,https://www.instagram.com/return_inn,https://www.youtube.com/watch?v=Li4KNe6M2-4&t=47s,,g0v tw hackath64n — 成果報告 — Groundi 熱情專案 ／ Joanne — 黃金比例黑客松
