,,,,,,,,,,,,,,
,"發表時間
Time","完成
Done","發表者
Presenter","錄影 CC-BY
釋出？
Video CC-BY?","主題
Topic","專案授權
Licensing","共筆／討論連結
Notes, contact","目前成果／投影片連結
Slides, progress","新參者友善？
Newbie friendly?","三個關鍵字
3 keywords","專案徵人
People (skills) needed","坑主聯絡方式
Project owner contact","報告 YouTube 連結
YouTube link","相關連結
Related link"
2,14:40,,ginger,yes,家庭診聊事,,https://docs.google.com/presentation/d/1Y-7tOKAi_UJhM3uzsVYG4NwRCYZ8fRHs1PqQ4YqfcRU/edit?usp=sharing,,yes,家庭、對話、公民,,https://www.facebook.com/familytlakinTW/,,
3,14:50,,[FtO] Mami,yes,LITALICO and My research at Univ.,cc-by,https://docs.google.com/presentation/d/157vmOAE050ONnbW5VDeQudQEVXqzziKyADfiaiypVXo/edit?folder=1EMttGQsfqvD8tZ7aP6fX-w_liWNEAQ5A#slide=id.p,https://litalico.co.jp/en/,yes,"edu,disability,sleep",,"g0v slack @Mami(Miley)
code for Japan slack @Takesada(Miley) ",https://socialfighter.jp/,http://www.ugscd.osaka-u.ac.jp/en/
4,15:00,,Bess,yes,2020 零時小學校,cc-by,https://docs.google.com/presentation/d/18UQgt-jd_wrGGwXGQW4yUsMsK7XZU7KPBxPpJu0uHMI/edit?usp=sharing,https://g0v.hackmd.io/@jothon/g0vedu2020,yes,"jothon, edu, text","教育工作者, 對教育專案有興趣的工程師, PM",g0v Slack #edu or @bess,,
5,15:10,,,,台南新芽,,,,,,,,,
6,15:20,,noah (stand for 青木秀仁 from Code for Nerima),,多語言工具：UDTalk/Smilingual ,,,https://docs.google.com/presentation/d/e/2PACX-1vQSKGXlRE2Luy0i79ttcAW6C0ZEppde7795gMV2uyCABT11ZDOjxrHaLv_SBNfwY2YI9gQybPwAait0/pub?start=false&loop=false&delayms=3000,,,,,,
,,,,,"本期開放 6 位 8 分鐘，就只有 6 個，截止就不要再加了。
Only 6 talks. Please don’t add more.",,,,,,,,,
,,,,,,,,,,,,,,
【5 分鐘成果報告】17:00 開始，每個 5min，分享今天做了什麼，接下來的計劃。,,,,,,,,,,,,,,
Sign up for a 5-min presentation here. Share what you have done today.,,,,,,,,,,,,,,
1,17:00,,小海的分身,no,disfactory 農地違章工廠舉報小幫手,"程式 MIT
資料：CC0","https://beta.hackfoldr.org/Disfactory
https://github.com/Disfactory/Disfactory","https://dev.disfactory.tw


https://drive.google.com/file/d/1DprOqVyV_GJOFPBCSByPlHBlz2w2M6kb/view?usp=sharing",Y,違章工廠舉報,"前端工程師、後端工程師、設計師、關心違章工廠的人
http://bit.ly/2HQrbdh",oriyaroriyar@cet-taiwan.org,,https://docs.google.com/presentation/d/1GDY_SzitZeLujrAwB0fYlV9bEB4L_iHpZMK_hELnapY/edit?folder=0AJQEysZwWjvcUk9PVA#slide=id.g7bc04c9a24_1_10
2,17:05,,kiang,yes,台灣賄選實價登錄地圖,cc-by,https://g0v.hackmd.io/qbQKVKIeRcCTb3pr_r7y_Q,,Y,"賄選,法院判決,候選人","中文語意分析
",g0v slack @kiang ; https://www.facebook.com/k.olc.tw/,,
3,17:10,,chewei,yes,"算樹計畫 Evaluate the Opportunity of ""Planting Trees"" in Your Country 🌳🌳🌳",cc-by,https://g0v.hackmd.io/YRVv_d-CQvaBzFrwITh58g,http://bit.ly/2pvaiz4,Y,"Transnational, NDVI, data(Tree&Landuse)","GIS, Logo Design, Google Earth Engine","g0v slack @chewei; https://www.facebook.com/MikLiu
https://www.facebook.com/groups/573697330058183/",https://youtu.be/s6_C3--kJMk,https://g0v.hackmd.io/YRVv_d-CQvaBzFrwITh58g?edit
4,17:15,,Leo,yes,Child Shell ( the prepare for emergency medical service ),cc-by,,https://drive.google.com/open?id=1kK6UucuDF__Nn6ziLMnplerH1kctfCmE,Yes,"Child, priority , nudge ",,sugarray13@gmail.com,,
5,17:20,,Calvin,yes,HKOSCON,,,https://drive.google.com/open?id=1-mLJhgBEAfNS-O6A8bpI3c8NwqSCuzOJ,,,,,,
6,17:25,,YuTin,yes,資料申請小幫手 - 政府翻譯機,MIT,,http://dataopener.tw/,,,,,,
7,17:30,,[FtO] bil,yes,Cofacts 真的假的,"程式 MIT
文字 CC0",https://cofacts.g0v.tw/hack,https://docs.google.com/presentation/d/1HxATUop5iKbbLfm_e-f8Tgj0LA7pfDq96_mz1D4vv6E/edit,super friendly❤️,"crowd surcing, fact-checking, chatbot",願意回應網路訊息的人、chatbot愛好者、少女、喜歡上網的人,"g0v slack: #cofacts channel , g0v slack @mrorz , @bil",,
8,17:35,,"meisheep, paul peng, sky",yes,選前大補帖,cc-by,g0v slack #2020voting-guide,https://vote.ly.g0v.tw/,yes,"候選人, 選舉公報, 背景","政見補充, 法規白話文撰寫",g0v slack @bangyu ; https://www.facebook.com/voting.guide.tw,,https://docs.google.com/presentation/d/11DzYWjMWh75AkF66MZr60xNtP8d2crIDBNuA1u_lryI/edit#slide=id.g7558e8025d_1_15
9,17:40,,JinWen,yes,全民提報文化資產,cc-by,https://hackmd.io/@onlystp417/BJbYwljAB#/,,"friendly
super new",文化資產、全民編輯、歷史記憶,文化歷史資料收集、前後端工程師、設計師,"g0v Slack #全民提報文化資產
好想工作室 JinWen",,
10,17:45,,ky,yes,"Code for Aichi 模擬遊戲CivicTeckers
桌遊議題卡台灣在地化",cc-by,https://docs.google.com/spreadsheets/d/1yLCgXTgDrYDvG36LITymNkFJLdp50DeMNRxAXhoWW68/edit#gid=0,,,,,,,
11,17:50,,noah,,upcoming event:,,,https://docs.google.com/presentation/d/e/2PACX-1vTdeZCMfGVFXs7qnKLY9L0EFe3A-SbvSFJx6YXWZ-EBUVWV-Is4f0FxxEeLk7nRFjJJXpK1XovgE2ct/pub?start=false&loop=false&delayms=3000,,,,,,
12,17:55,,"hkazami, chihao",,g0v 宣言德文版、英文版,"???
",https://hackmd.io/BpJC3XXmTpKCAljey-Fj5Q?view,https://g0v.hackmd.io/x-ngci7LQ1-UrAFKL5FLAQ,,"g0v, manifesto, translation","language, writer, g0ver",,,
,,,,,"可視專案數量和剩餘時間調整。
More presentations could be added if there are more projects & more time.",,,,,,,,,
