,,,,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,線上會議室（坑主可以自己開會議連結或到 Gather Town 佔空房間，請在表單上填網址或 Gather Town 會議室編號）,共筆／討論連結,目前成果／投影片連結,新參者友善（Y/?）,專案三個關鍵字,專案徵人（專長）,坑主聯絡方式,youtube url: 專案報告,youtube url: 成果報告,slides url
9,10:04,,Ted,Y,CourseAPI 線上開放式課程整合查詢平台,專案原始碼以MIT授權釋出,"我們在會場面對講台最右前方
",https://www.notion.so/toedu/CourseAPI-4e8faffe36c144058176dec509f15366,https://docs.google.com/presentation/d/17mI6Da-ze9a0gB1aS8z7_BM36wzvflMmp3I6A-USa5I/edit?usp=sharing,Y,"開放式課程 Open Course, 開放資料 Open Data, 爬蟲 Scraper",前端 Wireframe 協作,g0v slack #edu-open,,,
10,10:07,,allen,Y,g0v 九周年、wikidata 也是九周年,CC0,,https://slides.com/allenwang6212/wikidata-g0v-46n,wiikidata.org  ; https://outreachdashboard.wmflabs.org/courses/wikidata_taiwan/g0v_46n_Wikidata_%E7%B7%A8%E8%BC%AF%E6%9D%BE_(20211023),Y,CC0、Link data、Opendata,一起閱讀資料彙整成結構化資料!,g0v slack #wikidatataiwan,,,
11,10:10,,enen,Y,World Can Help Us：各國解封指引彙整,CC0,我們在會場最左後方角落,https://hackmd.io/@World-Can-Help-Us/01,https://hackmd.io/@World-Can-Help-Us/proposal,Y,"Covid-19, 跨國比較, 解封指引","-喜愛收集、閱讀、消化文本資料
-對國際比較、Covid 議題有興趣
-有整理癖、轉譯熱忱、資訊彙整
-尤其強力徵求擅長各國語言、文化的朋友加入！",g0v slack @jingwen,,,
12,10:13,,LUCHHH,Y,社會安全網站（ like literally XD ),CC0,,https://g0v.hackmd.io/s/HJZQH0OrK,https://docs.google.com/presentation/d/1TvcuH_cdycdDGjsJgHEUR5rXKNZIvPQCkXK33ZQzG-U/edit?usp=sharing,Y,資源整合，社會福祉，縮減社會臨界值,Coworker/ProjectManager/PSYbackground/SocialWorker/Designer/Data/Tech/Process/Mediator,g0v slack #socialwelfarenetwork,,,
13,10:16,,diaoga,Y,臺灣黑熊通報與資訊平台,"BSD3 (TBD, 可討論)",線上 M2 會議室,https://hackmd.io/YaL8PFZuQJiJIZN-51HYvg,https://docs.google.com/presentation/d/1Ihd5VmjlQKS3MbLlj30K9RtT5UsATjfN9rjAJA_iREQ/edit,Y,"臺灣黑熊, 公民科學, 通報系統","- 前端 (vue js)
- 後端 (python/django)
- PM
- UX/UI designer",g0v slack #tbbca,https://www.youtube.com/watch?v=Ib56Eu4CFUE,,
14,10:19,,Joshua kao,Y,立法院預算審議附帶決議結構化建置,MIT授權,,https://app.slack.com/client/T02G2SXKM/C02KH515RK2,https://docs.google.com/presentation/d/1VyfMdUfkBEApx4v4e_xazoLG7CzSQkeD/edit?usp=sharing&ouid=105132909753931537060&rtpof=true&sd=true,Y,開放資料、預算、透明,-爬蟲工程師                                               -後設資料建置,g0v slack #yuchen kao,,,
15,10:22,,okcool,Y,批踢踢不能亡,,,,https://docs.google.com/presentation/d/1EqPZAt2DMagy_SD80Vgn1iRUcvZ4OenR_IuQnx_NHWc/edit?usp=sharing,Y,"Ptt, Social Network, App",UIUX/iOS/Android/Golang,g0v slack #ptt,,,
,,,== 截止 ==,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"14:30【8分鐘短講報名】
每個 present 8min，分享議題、專案、研究、技術皆可。",,,,,,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,錄影以 CC-BY 釋出?,主題,,,相關連結,簡報投影片分享,,三個關鍵字,專案徵人,坑主聯絡方式,,,
1,14:30,,ddio,Y,Rentea - 用開源秘訣驗證租屋新方案,CC-BY,,https://g0v.hackmd.io/@ddio/corent,https://docs.google.com/presentation/d/1fQu2x1YzzWxDD0WrB5ImMTjWzhpCAK8KHAJtEdXxGG0/edit?usp=sharing,,,,g0v slack #rentea,,,
2,14:40,,Raisha and Rima,Y,Strategy in Expanding Wikidata Community in Indonesia and Indonesian Wikidata Community,CC0,,https://docs.google.com/presentation/d/1J-4xEwijKIIYOsd0vu7ZtuiLhW1iyYljEhZrdQUvUFs/edit?usp=sharing,https://docs.google.com/presentation/d/1PgE9hdmv7eoZd9FdDqnYFqV6JnBr6-CdDpbaMbrk3to/edit?usp=sharing,,"Indonesian, Wikidata, community",,g0v slack #wikidatataiwan,https://drive.google.com/file/d/1n_-AVWTfmjXiReYoyl20vdEXgkTUr0E_/view?usp=sharing,,
3,14:50,,diaoga,Y,直擊台灣黑熊研究現場,,,,https://docs.google.com/presentation/d/14_iX5IuwmWx5YI-eauuNZw0FEEr2J9yI/edit?usp=sharing&ouid=118372520096036965791&rtpof=true&sd=true,,,,,,https://www.youtube.com/watch?v=bZuZzL3M0nc,
4,15:00,,工友,Y,LASS決戰10強-衝刺(TBD),CC-BY,糾松GT房1，LASS的FB,https://docs.google.com/document/d/1iM_-YdZ8LFFbPkcL-4Irp9Z0laTXgUL2MzfwE4SWtFQ/edit#heading=h.9a91gl8cf8sh,https://drive.google.com/file/d/1MacJb27MVtgIdgwIpuZasb3zQKdh1632/view,Y,LASS、總統盃、全明星,全 [ 國 ] 26條中央管流域在地夥伴,g0v slack #gis 找工友 @negator,slack裡有兩個unknow，用negator可TAG我,https://youtu.be/GjlCAxsFYUc,
5,15:10,,Simon,Y,原始資料分享：捐款人行為調查,CC-BY,,,https://docs.google.com/presentation/d/19qzXIYaximqbVfnphrZi2d5Tp4LjPdGZUOMKn1EXhTU/edit?usp=sharing,,捐款、公益、慈善,,g0v slack #simonyu,,,
,本期開放5位8分鐘,,== 截止 ==,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"16:00【 present project】 
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,,,,
1,16:00,,,,,,,,,,,,,,,
2,16:05,,Isabel,Y,g0v時間軸,CC by,,https://g0v.hackmd.io/@jothon/9thannivstoryliner,,Y,人時事地,沒有人，你就是沒有人,@isabel #jothon,,,
3,16:10,,Ted,Y,CourseAPI 查詢開放式課程：我們今天做了什麼＆今天發現了什麼,專案原始碼以MIT釋出,"我們在會場面對講台最右前方
",https://www.notion.so/toedu/CourseAPI-4e8faffe36c144058176dec509f15366,https://www.figma.com/proto/oAEHhJqzb9zJ4i2zQsIYqS/CourseAPI-Wireframe?node-id=2%3A2&scaling=scale-down-width&page-id=0%3A1&starting-point-node-id=2%3A2,Y,"開放式課程 Open Course, 開放資料 Open Data, 爬蟲 Scraper",前端 Wireframe 協作,g0v slack #edu-open,,,
4,16:15,,Allen ,Y,河川資料彙整現況,CC0,,,https://slides.com/allenwang6212/copy-of-36e206;https://slides.com/allenwang6212/deck-0a06e3,,,,,,,
5,16:20,,Ronny,,開放國會行動方案進度網頁,"資料 CC0
程式 BSD license",,https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=43933&pid=212664,https://github.com/ronnywang/tw-opmsf-data/,,,,,,,
6,16:25,,David,Y,Disfactory SpotDiff,MIT,,https://g0v.hackmd.io/@yukaii/Disfactory/%2FL65HWu17S--qqVyXMmrH_A,https://docs.google.com/presentation/d/1DdphZ2RCVrFLH4L1abM6LZKhsxzPSpT0MrRz9vXmFnI/edit?usp=sharing,Y,違章工廠、公民標注、GIS,"Vue.js, Python Django, Python Flask, Product Manager, SEO, 設計師",g0v slack #disfactory @deeper @ael,,,
7,16:30,,Jingwen,Y,World Can Help Us：各國解封指引彙整,CC0,,,https://hackmd.io/@World-Can-Help-Us/01,Y,"Covid-19, 跨國比較, 解封指引","-喜愛收集、閱讀、消化文本資料
-對國際比較、Covid 議題有興趣
-有整理癖、轉譯熱忱、資訊彙整
-尤其強力徵求擅長各國語言、文化的朋友加入！",g0v slack #reopen @jingwen,,,
8,16:35,,LUCHH,Y,社會安全網，一個初始概念 Social Welfare Network chatbot. A primal idea .,CC0,,https://g0v.hackmd.io/s/HJZQH0OrK,https://docs.google.com/presentation/d/1TvcuH_cdycdDGjsJgHEUR5rXKNZIvPQCkXK33ZQzG-U/edit?usp=sharing,Y,"資源整合，社會福祉，縮減社會臨界值 Resource Integration, Social Welfare, Diminish Social Critical Value",Any nobody who want to make Taiwan a better place for minority. ,g0v slack #socialwelfarenetwork slack @LUCHH,,,
9,16:40,,bil,Y,Cofacts 真的假的,MIT / CC BY-SA 4.0,https://gather.town/app/z3x18KQFgZCX8MeZ/cofacts,https://cofacts.tw/hack,https://cofacts.tw/,Y,"crowd sourcing, fact-checking, chatbot","Node.js, React.js engineers, 會上網google、討厭假訊息的人","g0v slack: #cofacts channel , g0v slack @mrorz , @bil",,,https://docs.google.com/presentation/d/1ZyvVZ6mFx49iEC3O8urIVNJPYKBE_mM228_jzWBiy_A/edit
10,16:45,,Wei,,#decentralizehk,MIT,,https://g0v.hackmd.io/Y1S3ovOsRYmmxj6CjQdh7A?view,https://docs.google.com/presentation/d/1DtJNCNwnvpC8UfXFMUPGMIzdS1oLfIjRwo8PrOSyXKY/edit?usp=sharing,Y,#備份香港 #紀錄歷史 #文化保育,"- 後端（爬蟲）
- 資料彙整
- 關心議題的人",g0v slack #decentralizehk,,,
11,16:50,,chihao,Y,g0000000000v 嘉年華,先 CC BY 好了？,,https://g0v.hackmd.io/xEH5jmkuROyZZL4EWe2vQA?both,,,,,,,,
12,16:55,,Bess (jothon),Y,零時小學校 Demo Day 獎金 14 萬等你來拿,CC BY,,https://sch001.g0v.tw/,https://sch001.g0v.tw/,Y,"協作, 共學, 新手村",想要幫提案拿獎金的坑主們,g0v Slack #edu,,,
